Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
17:16:51:8906,1,0,0,0,0,0
17:16:51:8916,1,0,0,0,0,0
17:16:51:8926,1,0,0,0,0,0
17:16:51:8936,1,0,0,0,0,0
17:16:51:8946,1,0,0,0,0,0
17:16:51:8956,1,0,0,0,0,0
17:16:51:8966,1,0,0,0,0,0
17:16:51:8976,1,0,0,0,0,0
17:16:51:8986,1,0,0,0,0,0
17:16:51:8996,1,0,0,0,0,0
17:16:51:9006,1,0,0,0,0,0
17:16:51:9016,1,0,0,0,0,0
17:16:51:9026,1,0,0,0,0,0
17:16:51:9036,1,0,0,0,0,0
17:16:51:9046,1,0,0,0,0,0
17:16:51:9056,1,0,0,0,0,0
17:16:51:9066,1,0,0,0,0,0
17:16:51:9076,1,0,0,0,0,0
17:16:51:9086,1,0,0,0,0,0
17:16:51:9096,1,0,0,0,0,0
17:16:51:9106,1,0,0,0,0,0
17:16:51:9116,1,0,0,0,0,0
17:16:51:9126,1,0,0,0,0,0
17:16:51:9136,1,0,0,0,0,0
17:16:51:9146,1,0,0,0,0,0
17:16:51:9156,1,0,0,0,0,0
17:16:51:9166,1,0,0,0,0,0
17:16:51:9176,1,0,0,0,0,0
17:16:51:9186,1,0,0,0,0,0
17:16:51:9196,1,0,0,0,0,0
17:16:51:9206,1,0,0,0,0,0
17:16:51:9216,1,0,0,0,0,0
17:16:51:9226,1,0,0,0,0,0
17:16:51:9236,1,0,0,0,0,0
17:16:51:9246,1,0,0,0,0,0
17:16:51:9256,1,0,0,0,0,0
17:16:51:9266,1,0,0,0,0,0
17:16:51:9276,1,0,0,0,0,0
17:16:51:9286,1,0,0,0,0,0
17:16:51:9296,1,0,0,0,0,0
17:16:51:9306,1,0,0,0,0,0
17:16:51:9316,1,0,0,0,0,0
17:16:51:9326,1,0,0,0,0,0
17:16:51:9336,1,0,0,0,0,0
17:16:51:9346,1,0,0,0,0,0
17:16:51:9356,1,0,0,0,0,0
17:16:51:9366,1,0,0,0,0,0
17:16:51:9376,1,0,0,0,0,0
17:16:51:9386,1,0,0,0,0,0
17:16:51:9396,1,0,0,0,0,0
17:16:51:9406,1,0,0,0,0,0
17:16:51:9416,1,0,0,0,0,0
17:16:51:9426,1,0,0,0,0,0
17:16:51:9436,1,0,0,0,0,0
17:16:51:9446,1,0,0,0,0,0
17:16:51:9456,1,0,0,0,0,0
17:16:51:9466,1,0,0,0,0,0
17:16:51:9476,1,0,0,0,0,0
17:16:51:9486,1,0,0,0,0,0
17:16:51:9496,1,0,0,0,0,0
17:16:51:9506,1,0,0,0,0,0
17:16:51:9516,1,0,0,0,0,0
17:16:51:9526,1,0,0,0,0,0
17:16:51:9536,1,0,0,0,0,0
17:16:51:9546,1,0,0,0,0,0
17:16:51:9556,1,0,0,0,0,0
17:16:51:9566,1,0,0,0,0,0
17:16:51:9576,1,0,0,0,0,0
17:16:51:9586,1,0,0,0,0,0
17:16:51:9596,1,0,0,0,0,0
17:16:51:9606,1,0,0,0,0,0
17:16:51:9616,1,0,0,0,0,0
17:16:51:9626,1,0,0,0,0,0
17:16:51:9636,1,0,0,0,0,0
17:16:51:9646,1,0,0,0,0,0
17:16:51:9656,1,0,0,0,0,0
17:16:51:9666,1,0,0,0,0,0
17:16:51:9676,1,0,0,0,0,0
17:16:51:9686,1,0,0,0,0,0
17:16:51:9696,1,0,0,0,0,0
17:16:51:9706,1,0,0,0,0,0
17:16:51:9716,1,0,0,0,0,0
17:16:51:9726,1,0,0,0,0,0
17:16:51:9736,1,0,0,0,0,0
17:16:51:9746,1,0,0,0,0,0
17:16:51:9756,1,0,0,0,0,0
17:16:51:9766,1,0,0,0,0,0
17:16:51:9776,1,0,0,0,0,0
17:16:51:9786,1,0,0,0,0,0
